date,open,high,low,close,volume
2026-03-12 09:00:00,1430000,1439000,1427000,1429000,3042
2026-03-12 09:01:00,1428000,1439000,1424000,1438000,1146
2026-03-12 09:02:00,1438000,1438000,1430000,1433000,1400
2026-03-12 09:03:00,1433000,1435000,1426000,1431000,1367
2026-03-12 09:04:00,1430000,1444000,1428000,1443000,2243
2026-03-12 09:05:00,1443000,1451000,1440000,1447000,2676
2026-03-12 09:06:00,1448000,1455000,1437000,1445000,3882
2026-03-12 09:07:00,1445000,1448000,1439000,1441000,1018
2026-03-12 09:08:00,1442000,1444000,1435000,1442000,1024
2026-03-12 09:09:00,1442000,1443000,1438000,1438000,936
2026-03-12 09:10:00,1438000,1446000,1437000,1445000,972
2026-03-12 09:11:00,1446000,1455000,1446000,1454000,3098
2026-03-12 09:12:00,1454000,1455000,1446000,1448000,1148
2026-03-12 09:13:00,1447000,1449000,1443000,1444000,469
2026-03-12 09:14:00,1445000,1445000,1441000,1444000,528
2026-03-12 09:15:00,1445000,1447000,1443000,1444000,305
2026-03-12 09:16:00,1444000,1445000,1439000,1442000,821
2026-03-12 09:17:00,1442000,1450000,1442000,1447000,1119
2026-03-12 09:18:00,1447000,1447000,1440000,1443000,512
2026-03-12 09:19:00,1443000,1446000,1443000,1445000,451
2026-03-12 09:20:00,1445000,1445000,1438000,1439000,843
2026-03-12 09:21:00,1439000,1440000,1434000,1436000,383
2026-03-12 09:22:00,1435000,1440000,1433000,1438000,1380
2026-03-12 09:23:00,1438000,1440000,1435000,1437000,574
2026-03-12 09:24:00,1437000,1443000,1436000,1439000,1310
2026-03-12 09:25:00,1440000,1441000,1438000,1440000,391
2026-03-12 09:26:00,1440000,1444000,1439000,1442000,449
2026-03-12 09:27:00,1443000,1446000,1441000,1446000,709
2026-03-12 09:28:00,1446000,1448000,1444000,1445000,1138
2026-03-12 09:29:00,1445000,1447000,1444000,1445000,431
2026-03-12 09:30:00,1446000,1446000,1440000,1441000,774
2026-03-12 09:31:00,1440000,1442000,1437000,1438000,709
2026-03-12 09:32:00,1438500,1440000,1437000,1438000,419
2026-03-12 09:33:00,1438000,1439000,1437000,1438500,887
2026-03-12 09:34:00,1438500,1440000,1435000,1436000,424
2026-03-12 09:35:00,1436000,1440000,1436000,1439000,418
2026-03-12 09:36:00,1439000,1440000,1435000,1438000,461
2026-03-12 09:37:00,1438000,1438000,1434000,1434000,588
2026-03-12 09:38:00,1436000,1440000,1434000,1434000,1147
2026-03-12 09:39:00,1437000,1438000,1435000,1437000,157
2026-03-12 09:40:00,1438000,1438000,1436000,1437000,166
2026-03-12 09:41:00,1438000,1443000,1437000,1441000,1185
2026-03-12 09:42:00,1442000,1445000,1440000,1442000,1153
2026-03-12 09:43:00,1442000,1443000,1441000,1442000,255
2026-03-12 09:44:00,1443000,1443000,1441000,1441000,328
2026-03-12 09:45:00,1442000,1443000,1440000,1442000,348
2026-03-12 09:46:00,1442000,1442000,1440000,1441000,234
2026-03-12 09:47:00,1441000,1442000,1440000,1440000,341
2026-03-12 09:48:00,1441000,1442000,1440000,1441000,142
2026-03-12 09:49:00,1441000,1447000,1439000,1446000,1834
2026-03-12 09:50:00,1447000,1453000,1446000,1448000,2770
2026-03-12 09:51:00,1449000,1451000,1447000,1449000,1019
2026-03-12 09:52:00,1450000,1450000,1445000,1447000,556
2026-03-12 09:53:00,1447000,1450000,1444000,1450000,1103
2026-03-12 09:54:00,1451000,1451000,1449000,1449000,381
2026-03-12 09:55:00,1450000,1454000,1450000,1451000,1197
2026-03-12 09:56:00,1451000,1451000,1448000,1449000,502
