date,open,high,low,close,volume
2026-03-12 09:00:00,175600,177100,175600,176800,8931
2026-03-12 09:01:00,176800,177300,176400,177000,4131
2026-03-12 09:02:00,177000,177200,176300,176400,3790
2026-03-12 09:03:00,176400,177100,175700,176900,3867
2026-03-12 09:04:00,176500,177300,176400,176900,3695
2026-03-12 09:05:00,177000,177300,176400,176500,4259
2026-03-12 09:06:00,176500,176800,175600,176300,5378
2026-03-12 09:07:00,176200,176600,174700,174700,7094
2026-03-12 09:08:00,174600,175300,173500,175200,5644
2026-03-12 09:09:00,175250,175900,175250,175800,2499
2026-03-12 09:10:00,175800,175900,175500,175900,1371
2026-03-12 09:11:00,176000,176600,175900,176500,3001
2026-03-12 09:12:00,176600,176600,175850,176300,1296
2026-03-12 09:13:00,176300,176300,175600,175600,587
2026-03-12 09:14:00,175700,175900,175500,175800,500
2026-03-12 09:15:00,175700,175900,175600,175800,739
2026-03-12 09:16:00,175700,176200,175500,176200,948
2026-03-12 09:17:00,176100,176400,175600,176300,1082
2026-03-12 09:18:00,176400,176400,175800,175900,860
2026-03-12 09:19:00,175900,176500,175800,176400,1654
2026-03-12 09:20:00,176400,176800,176200,176400,851
2026-03-12 09:21:00,176400,176400,175800,176000,995
2026-03-12 09:22:00,176100,176200,175700,176200,927
2026-03-12 09:23:00,176200,177200,176100,176700,2219
2026-03-12 09:24:00,176700,177600,176700,177500,3046
2026-03-12 09:25:00,177500,177500,176900,177200,616
2026-03-12 09:26:00,177100,177400,177100,177200,905
2026-03-12 09:27:00,177100,177200,176600,176700,1204
2026-03-12 09:28:00,176700,177200,176600,177000,467
2026-03-12 09:29:00,177100,177200,177000,177000,1372
2026-03-12 09:30:00,177000,177000,176400,176700,1324
2026-03-12 09:31:00,176800,176800,176300,176500,1015
2026-03-12 09:32:00,176500,176600,176100,176300,945
2026-03-12 09:33:00,176300,176400,176200,176400,460
2026-03-12 09:34:00,176400,176700,176400,176700,1895
2026-03-12 09:35:00,176400,176800,176400,176700,1095
2026-03-12 09:36:00,176600,177000,176400,176900,1277
2026-03-12 09:37:00,176800,176900,176500,176900,1152
2026-03-12 09:38:00,176900,177100,176800,177000,2093
2026-03-12 09:39:00,177100,177200,176900,177100,1389
2026-03-12 09:40:00,177000,177100,176800,177000,1106
2026-03-12 09:41:00,177000,177100,176700,176800,837
2026-03-12 09:42:00,176800,176900,176400,176600,1332
2026-03-12 09:43:00,176800,177000,176700,177000,455
2026-03-12 09:44:00,176950,177200,176900,177100,1204
2026-03-12 09:45:00,177150,177800,177000,177800,6580
2026-03-12 09:46:00,177800,177900,177400,177500,1319
2026-03-12 09:47:00,177600,177600,177400,177400,903
2026-03-12 09:48:00,177500,177500,177000,177100,672
2026-03-12 09:49:00,177100,177300,177000,177100,1109
2026-03-12 09:50:00,177200,177800,177100,177500,1860
2026-03-12 09:51:00,177400,177600,177300,177400,898
2026-03-12 09:52:00,177600,177700,177400,177500,820
2026-03-12 09:53:00,177600,177800,177400,177500,1377
2026-03-12 09:54:00,177500,177600,177200,177400,684
2026-03-12 09:55:00,177400,177800,177300,177700,1281
2026-03-12 09:56:00,177800,177800,177400,177600,847
2026-03-12 09:57:00,177700,177700,177100,177400,1181
2026-03-12 09:58:00,177400,177400,177200,177300,512
2026-03-12 09:59:00,177200,177300,177000,177000,744
2026-03-12 10:00:00,177100,177400,176900,177200,1182
2026-03-12 10:01:00,177300,177300,176900,177000,650
2026-03-12 10:02:00,176900,177300,176850,177200,777
2026-03-12 10:03:00,177200,177300,177000,177300,739
2026-03-12 10:04:00,177300,177500,177100,177500,1192
2026-03-12 10:05:00,177400,178000,177400,177900,3701
2026-03-12 10:06:00,177900,177900,177600,177700,718
2026-03-12 10:07:00,177700,177800,177600,177700,1051
2026-03-12 10:08:00,177600,178100,177600,178000,7547
2026-03-12 10:09:00,177900,178100,177800,178000,1314
2026-03-12 10:10:00,178100,178100,177900,178000,696
2026-03-12 10:11:00,177900,178100,177900,178000,495
2026-03-12 10:12:00,178100,178500,178000,178500,2168
2026-03-12 10:13:00,178400,178800,178400,178650,1583
2026-03-12 10:14:00,178700,178800,178000,178100,2965
2026-03-12 10:15:00,178100,178400,178000,178400,916
2026-03-12 10:16:00,178500,178500,178100,178200,1490
2026-03-12 10:17:00,178200,178200,177500,177600,2544
2026-03-12 10:18:00,177700,177700,177200,177600,705
2026-03-12 10:19:00,177500,177500,177300,177500,830
