date,open,high,low,close,volume
2026-03-12 09:00:00,760000,768000,751000,757000,31726
2026-03-12 09:01:00,757000,760000,751000,755000,12959
2026-03-12 09:02:00,755000,757000,749000,751000,10407
2026-03-12 09:03:00,751000,757000,751000,755000,5897
2026-03-12 09:04:00,755000,767000,753000,767000,9161
2026-03-12 09:05:00,767000,767000,757000,766000,3368
2026-03-12 09:06:00,765000,773000,760000,761000,8797
2026-03-12 09:07:00,761000,766000,760000,762000,3049
2026-03-12 09:08:00,762000,764000,761000,764000,2030
2026-03-12 09:09:00,765000,765000,761000,761000,2425
2026-03-12 09:10:00,761000,769000,760000,768000,4876
2026-03-12 09:11:00,768000,769000,763000,763000,2112
2026-03-12 09:12:00,763000,763000,757000,759000,2498
2026-03-12 09:13:00,760000,760000,755000,756000,2106
2026-03-12 09:14:00,756000,757000,753000,755000,3418
2026-03-12 09:15:00,755000,758000,753000,757000,2617
2026-03-12 09:16:00,758000,758000,754000,754000,1327
2026-03-12 09:17:00,755000,760000,754000,759000,1930
2026-03-12 09:18:00,759000,760000,756000,757000,1038
2026-03-12 09:19:00,757000,758000,754000,754000,1005
2026-03-12 09:20:00,755000,755000,753000,753000,1579
2026-03-12 09:21:00,753000,754000,750000,751000,4810
2026-03-12 09:22:00,751000,752000,749000,749000,3126
2026-03-12 09:23:00,750000,752000,749000,752000,2877
2026-03-12 09:24:00,751500,753000,750000,752500,967
2026-03-12 09:25:00,753000,755000,752000,754000,1383
2026-03-12 09:26:00,753000,756000,753000,756000,795
2026-03-12 09:27:00,756000,756000,754000,754500,411
2026-03-12 09:28:00,754000,755000,754000,754000,325
2026-03-12 09:29:00,755000,756000,754000,756000,762
2026-03-12 09:30:00,755000,756000,753000,753000,1309
2026-03-12 09:31:00,754000,754000,750000,750000,1292
2026-03-12 09:32:00,750000,751000,750000,751000,1051
2026-03-12 09:33:00,750000,753000,750000,752000,1547
2026-03-12 09:34:00,752000,753000,750000,751000,888
2026-03-12 09:35:00,751000,752000,749000,749000,883
2026-03-12 09:36:00,749000,750000,747000,747000,3126
2026-03-12 09:37:00,747000,748000,744000,744000,5121
2026-03-12 09:38:00,744000,746000,742000,745000,2881
2026-03-12 09:39:00,745000,749000,745000,749000,876
2026-03-12 09:40:00,748000,749000,747000,747000,1300
2026-03-12 09:41:00,747000,748000,745000,748000,1061
2026-03-12 09:42:00,748000,752000,747000,749000,1398
2026-03-12 09:43:00,749000,749000,748000,748000,256
2026-03-12 09:44:00,749000,749000,747000,747000,646
2026-03-12 09:45:00,747000,748000,746000,747000,527
2026-03-12 09:46:00,747000,747000,743000,743000,1694
2026-03-12 09:47:00,744000,745000,743000,744000,603
2026-03-12 09:48:00,743500,746500,743000,746500,1190
2026-03-12 09:49:00,746000,747000,744000,747000,1002
2026-03-12 09:50:00,746000,747000,746000,746000,355
2026-03-12 09:51:00,746000,747000,746000,747000,257
2026-03-12 09:52:00,747000,747000,745000,746000,410
2026-03-12 09:53:00,746000,749000,745000,748000,827
2026-03-12 09:54:00,748000,749000,747000,748000,341
2026-03-12 09:55:00,748000,750000,747000,750000,632
2026-03-12 09:56:00,749000,751000,749000,751000,451
2026-03-12 09:57:00,751000,751000,747000,747000,1204
2026-03-12 09:58:00,747000,748000,747000,748000,343
2026-03-12 09:59:00,748000,748000,747000,747000,211
2026-03-12 10:00:00,747000,749000,746000,749000,1166
2026-03-12 10:01:00,749000,750000,748000,749000,235
2026-03-12 10:02:00,749000,751000,748000,751000,749
2026-03-12 10:03:00,751000,751000,750000,750000,457
2026-03-12 10:04:00,750000,752000,750000,750000,717
2026-03-12 10:05:00,751000,754000,751000,752000,2902
2026-03-12 10:06:00,751000,752000,750000,751000,588
2026-03-12 10:07:00,750000,751000,748000,750000,833
2026-03-12 10:08:00,750000,751000,749000,750000,413
2026-03-12 10:09:00,750000,751000,749000,750000,416
2026-03-12 10:10:00,750000,751000,750000,750000,434
2026-03-12 10:11:00,750000,751000,750000,751000,272
2026-03-12 10:12:00,751000,751000,750000,751000,870
2026-03-12 10:13:00,750000,756000,750000,753000,3264
2026-03-12 10:14:00,753000,754000,751000,751000,648
2026-03-12 10:15:00,751000,751000,750000,750000,390
2026-03-12 10:16:00,751000,752000,749000,750000,655
2026-03-12 10:17:00,749000,750000,749000,749500,159
2026-03-12 10:18:00,750000,750000,747000,748000,513
2026-03-12 10:19:00,747000,748000,747000,747000,279
